"market","content_type","categories","published","title","category","youtube_url","body","thumbnail_url","order","id","created_date","updated_date","created_by_id","created_by","is_sample"
"saltwater","video","[""fish_care"",""shipping_acclimation""]","true","Acclimate Fish","fish_care","https://youtu.be/Yqj-CSi8kgg?si=_EXNPRgzVgKUy9XX","","","0","69dd5531fe4b68cb8314993e","2026-04-13T20:42:25.427000","2026-04-13T20:42:25.427000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
"saltwater","video","[""shipping_acclimation"",""coral_care"",""fish_care""]","true","Acclimate coral and inverts ","shipping_acclimation","https://youtu.be/8MkclaPBTNY?si=QkLHFaF8e1y0B0PU","","","0","69dd550a8eff60ff10cf22ef","2026-04-13T20:41:46.326000","2026-04-13T20:41:46.326000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
"saltwater","video","[""coral_care"",""shipping_acclimation""]","true","Acclimate corals","coral_care","https://youtu.be/eYmV4VAsNT4?si=5YmkZcfgi1W4ZOl_","","","0","69dd54d378e82fb45efd187d","2026-04-13T20:40:51.943000","2026-04-13T20:40:51.943000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
"saltwater","video","[""water_chemistry"",""coral_care""]","true","Calcium and Magnesium","water_chemistry","https://youtu.be/k2RHStLHBUQ?si=BopaO_aGvP8Addf3","","","0","69dd543b761c7a9850431de5","2026-04-13T20:38:19.385000","2026-04-13T20:38:19.385000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
"saltwater","video","[""water_chemistry"",""fish_care"",""coral_care""]","true","Master Reef tank Alkalinity ","water_chemistry","https://youtu.be/0XGlajRfavM?si=1wmVymkk8mAQjeSO","","","0","69dd54068f62e8e1d212380f","2026-04-13T20:37:26.934000","2026-04-13T20:37:26.934000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
"saltwater","video","[""water_chemistry"",""fish_care"",""coral_care""]","true","Reef Tank PH","water_chemistry","https://youtu.be/GKMM20I9DWk?si=Zy-tLL_j6bWXYsM5","","","0","69dd53bb78e82fb45efd17de","2026-04-13T20:36:11.782000","2026-04-13T20:36:11.782000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
"saltwater","video","[""water_chemistry"",""fish_care"",""coral_care"",""maintenance""]","true","Reef Tank Pollutants","water_chemistry","https://youtu.be/VLo-4sQrIes?si=oJmHQzW8RxwQdwSf","","","0","69dd538fb04df1f5d433fd3d","2026-04-13T20:35:27.390000","2026-04-13T20:35:27.390000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
"saltwater","video","[""water_chemistry""]","true","quick guide to mastering reef tank chemistry","water_chemistry","https://youtu.be/U8e3Rskgx58?si=gzlrQw5YLeahagzQ","","","0","69dd535f6a3d50bdbaf88bcf","2026-04-13T20:34:39.768000","2026-04-13T20:34:39.768000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
"saltwater","video","[""lighting_flow""]","true","A guide to reef lighting","lighting_flow","https://youtu.be/aGn4BODPq_c?si=uOuatqYrai_YkGE5","","","0","69dd52e7eca669f6205526ce","2026-04-13T20:32:39.990000","2026-04-13T20:32:39.990000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
"saltwater","video","[""coral_care"",""lighting_flow""]","true","SPS coral care, flow, and lighting","coral_care","https://youtu.be/ncu38G8daws?si=qjbAtYqEFP-74017","","","0","69dd52aac0bf37253435a7b3","2026-04-13T20:31:38.066000","2026-04-13T20:31:38.066000","69cd3d0cc5454eb378341b94","andrew@freedomrisingnow.org","false"
